ChemicalID,ChemicalName,CAS Number,Lab,Qty,Units,Phase,Room,Location,SubLocation,Status,Plasmid Name,Primary Box,Secondary Box,Primary Tube,Secondary Tube,Primary Date Deposited,Secondary Date Deposited,Primary Deposited By,Secondary Deposited By,Primary Preparation/Concentration,Secondary Preparation/Concentration,Primary Reference,Secondary Reference,System,Organism,gene,Fragment Size,Mutations,Vector,Markers,Hosts,Notebook Reference,Source,File,Freezer ID,Freezer Name,Shelf ID,Shelf Name,Rack ID,Rack Name,Drawer ID,Drawer Name,Category ID,Category Name,Box ID,Box Name,Item Group ID,Item Group Name,Item ID,Item Name,Row,Column,Concentration,Volume/Mass,Expires On,Created On,Notes,Catalog #,Packaging,Price,Lot,Item Type,GHS Hazard Codes,SDS URL,Storage Class,Min Stock Level,Reorder Qty
,1x Stable Peroxide Substrate Buffer,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,1x Stable Peroxide Substrate Buffer,,,,250 mL,,2026-08-10T21:37:43.208Z,,,,,,Sample,,,,,
,Immobilon Western HPR Substrate Luminol Reagent,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,Immobilon Western HPR Substrate Luminol Reagent,,,,,,2026-08-10T21:38:22.836Z,,,,,,Sample,,,,,
,"D-Biotin, 100%",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,"D-Biotin, 100%",,,,,,2026-08-10T21:38:51.727Z,,,,,,Sample,,,,,
,Carbenicillin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,Carbenicillin,,,770 ug/mg,25 g,,2026-08-10T21:39:23.718Z,,,,,,Sample,,,,,
,BSA (Bovine Serum Albumin),,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,BSA (Bovine Serum Albumin),,,,100 mg,,2026-08-10T21:40:13.967Z,,,,,,Sample,,,,,
,CN/DAB Substrate Kit,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,CN/DAB Substrate Kit,,,,,,2026-08-10T21:40:38.128Z,,,,,,Sample,,,,,
,Pretreat B Solution for 5M Quick Blocking Kit,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,Pretreat B Solution for 5M Quick Blocking Kit,,,,30 mL,,2026-08-10T21:41:06.222Z,,,,,,Sample,,,,,
,Pretreat A Solution for 5M Quick Blocking Kit,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,Pretreat A Solution for 5M Quick Blocking Kit,,,,30 mL,,2026-08-10T21:41:47.113Z,,,,,,Sample,,,,,
,Ni-NTA Agarose,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 4,Refrigerator #1 / 2nd Shelf / Tray 4,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-135,Tray 4,,,,Ni-NTA Agarose,,,,100 mL,,2026-08-10T21:41:57.499Z,,,,,,Sample,,,,,
,EMCH,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,EMCH,,,,,,2026-08-10T21:42:42.072Z,,,,,,Sample,,,,,
,DTSSP,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 5,Refrigerator #1 / 2nd Shelf / Tray 5,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208563-120,Tray 5,,,,DTSSP,,,,50 mg,,2026-08-10T21:42:53.329Z,,,,,,Sample,,,,,
